class_index,class_name,own_anchor_similarity,best_other_anchor_class,best_other_anchor_similarity,anchor_margin,nearest_anchor_class,nearest_anchor_is_own
0,Normal,0.206193745136261,Shoplifting,0.6698644757270813,-0.4636707305908203,Shoplifting,False
10,Shooting,0.2865622043609619,Shoplifting,0.5796294808387756,-0.2930672764778137,Shoplifting,False
1,Abuse,0.4351288676261902,Shoplifting,0.6622664928436279,-0.22713762521743774,Shoplifting,False
4,Assault,0.40974247455596924,Shoplifting,0.6307604312896729,-0.2210179567337036,Shoplifting,False
3,Arson,0.4148198068141937,Shoplifting,0.6158883571624756,-0.20106855034828186,Shoplifting,False
12,Stealing,0.513317883014679,Shoplifting,0.7022974491119385,-0.18897956609725952,Shoplifting,False
6,Explosion,0.41941148042678833,Robbery,0.5974628925323486,-0.1780514121055603,Robbery,False
7,Fighting,0.4381321966648102,Shoplifting,0.6065371632575989,-0.1684049665927887,Shoplifting,False
5,Burglary,0.5932149887084961,Shoplifting,0.7076234817504883,-0.11440849304199219,Shoplifting,False
13,Vandalism,0.5609134435653687,Shoplifting,0.6545897722244263,-0.09367632865905762,Shoplifting,False
9,Robbery,0.5987578630447388,Shoplifting,0.6675015687942505,-0.06874370574951172,Shoplifting,False
8,RoadAccidents,0.6771227717399597,Shoplifting,0.6712772250175476,0.005845546722412109,RoadAccidents,True
2,Arrest,0.651653528213501,Shoplifting,0.6314535140991211,0.020200014114379883,Arrest,True
11,Shoplifting,0.658832848072052,Robbery,0.5800127983093262,0.07882004976272583,Shoplifting,True
