class_index,class_name,rank_in_class,source_file,source_stem,source_prompts_per_class,prompt_index,selection_score,anchor_similarity,intra_prompt_similarity,inter_prompt_similarity,anchor_margin,best_other_anchor_class,best_other_anchor_similarity,raw_prompt_text,encoded_prompt_text
0,Normal,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,8,0.25578874349594116,0.506760835647583,0.6215343475341797,0.9202598929405212,0.0069963932037353516,Robbery,0.49976444244384766,people interacting casually without panic or force,normal people interacting casually without panic or force
0,Normal,2,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,1,0.24890140295028682,0.4656851887702942,0.6715505719184875,0.9270318150520325,-0.06710439920425415,Robbery,0.5327895879745483,people standing and talking without aggressive movement,normal people standing and talking without aggressive movement
0,Normal,3,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,9,0.24364463984966278,0.41642019152641296,0.7238477468490601,0.9085988998413086,-0.2460252344608307,Robbery,0.6624454259872437,an orderly scene with predictable everyday activity,normal an orderly scene with predictable everyday activity
0,Normal,4,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,1,0.2382349193096161,0.39700984954833984,0.7268800139427185,0.8916700482368469,-0.20629942417144775,Robbery,0.6033092737197876,people waiting and talking in a public area,normal people waiting and talking in a public area
0,Normal,5,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,1,0.2382349193096161,0.39700984954833984,0.7268800139427185,0.8916700482368469,-0.20629942417144775,Robbery,0.6033092737197876,people waiting and talking in a public area,normal people waiting and talking in a public area
0,Normal,6,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,9,0.22493658661842342,0.3672816753387451,0.7501792311668396,0.9187901020050049,-0.3426242470741272,Shoplifting,0.7099059224128723,an orderly scene with predictable everyday human activity,normal an orderly scene with predictable everyday human activity
0,Normal,7,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,4,0.22401275932788847,0.5384019017219543,0.4840816557407379,0.9520634412765503,0.14615485072135925,Robbery,0.3922470510005951,routine activities occurring in a public place,normal routine activities occurring in a public place
0,Normal,8,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,3,0.22059618234634398,0.3411933183670044,0.7076714038848877,0.8115094900131226,-0.2143923044204712,Shoplifting,0.5555856227874756,customers standing calmly near store counters,normal customers standing calmly near store counters
0,Normal,9,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,3,0.22059618234634398,0.3411933183670044,0.7076714038848877,0.8115094900131226,-0.2143923044204712,Shoplifting,0.5555856227874756,customers standing calmly near store counters,normal customers standing calmly near store counters
0,Normal,10,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,3,0.21982533931732173,0.3599531650543213,0.6861169338226318,0.8299316167831421,-0.2329343557357788,Shoplifting,0.5928875207901001,shoppers browsing shelves and paying at checkout,normal shoppers browsing shelves and paying at checkout
0,Normal,11,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,3,0.18559214472770688,0.2639310359954834,0.7776100039482117,0.8982818722724915,-0.46786069869995117,Shoplifting,0.7317917346954346,a normal street scene with everyday human activity,normal a normal street scene with everyday human activity
0,Normal,12,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,4,0.18294311910867692,0.23081834614276886,0.789313793182373,0.8463009595870972,-0.44165337085723877,Shoplifting,0.6724717020988464,people entering and exiting buildings at normal pace,normal people entering and exiting buildings at normal pace
0,Normal,13,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,4,0.18294310122728344,0.23081834614276886,0.7893137335777283,0.8463009595870972,-0.44165337085723877,Shoplifting,0.6724717020988464,people entering and exiting buildings at normal pace,normal people entering and exiting buildings at normal pace
0,Normal,14,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,7,0.17941436916589734,0.21617074310779572,0.790738582611084,0.8294628858566284,-0.4369516968727112,RoadAccidents,0.6531224250793457,a public area with ordinary walking and waiting,normal a public area with ordinary walking and waiting
0,Normal,15,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,7,0.17941435128450392,0.21617074310779572,0.7907385230064392,0.8294628858566284,-0.4369516968727112,RoadAccidents,0.6531224250793457,a public area with ordinary walking and waiting,normal a public area with ordinary walking and waiting
0,Normal,16,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,6,0.1615644872188568,0.1929149031639099,0.7918808460235596,0.8622860908508301,-0.5114923715591431,Shoplifting,0.704407274723053,people entering and exiting buildings in a routine manner,normal people entering and exiting buildings in a routine manner
0,Normal,17,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,2,0.15469467341899867,0.1759030520915985,0.7999457120895386,0.8662028312683105,-0.5154132843017578,Shoplifting,0.6913163661956787,people shopping or standing normally without unusual activity,normal people shopping or standing normally without unusual activity
0,Normal,18,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,6,0.15323743671178816,0.1723071187734604,0.7849664092063904,0.8420302271842957,-0.4931957721710205,Shoplifting,0.6655029058456421,people entering and exiting buildings at a steady pace,normal people entering and exiting buildings at a steady pace
0,Normal,19,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,4,0.14809465408325193,0.19177931547164917,0.7417929768562317,0.8516644835472107,-0.5001286864280701,Shoplifting,0.6919080018997192,workers performing routine tasks in a calm store,normal workers performing routine tasks in a calm store
0,Normal,20,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,1,0.13566560745239256,0.13665682077407837,0.7768884301185608,0.8286466598510742,-0.5489078760147095,RoadAccidents,0.6855646967887878,people chatting casually in an ordinary public area,normal people chatting casually in an ordinary public area
0,Normal,21,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,1,0.13348852396011351,0.13897663354873657,0.7962722182273865,0.8744072914123535,-0.6033383011817932,RoadAccidents,0.7423149347305298,ordinary people and vehicles moving in a regular environment,normal ordinary people and vehicles moving in a regular environment
