class_index,class_name,mean_intra_prompt_similarity,min_intra_prompt_similarity,max_intra_prompt_similarity,std_intra_prompt_similarity,centroid_to_own_anchor_similarity
0,Normal,0.7172824144363403,0.5213085412979126,0.8643283843994141,0.0951504334807396,0.206193745136261
1,Abuse,0.9119717478752136,0.8746895790100098,0.9538605809211731,0.026899166405200958,0.4351288676261902
2,Arrest,0.8434594869613647,0.7500102519989014,0.9207590818405151,0.04871385172009468,0.651653528213501
3,Arson,0.8398661613464355,0.6895513534545898,0.9135388135910034,0.06870582699775696,0.44211727380752563
4,Assault,0.8482778668403625,0.7690366506576538,0.9273008108139038,0.055714450776576996,0.40974247455596924
5,Burglary,0.8111626505851746,0.7063719034194946,0.9112579226493835,0.059272900223731995,0.5469973683357239
6,Explosion,0.8763483166694641,0.7972375154495239,0.9592894911766052,0.04683621600270271,0.4658287763595581
7,Fighting,0.7393220663070679,0.45425689220428467,0.9643810391426086,0.17346863448619843,0.4381321966648102
8,RoadAccidents,0.8025583028793335,0.739008903503418,0.8967255353927612,0.04737059399485588,0.6314906477928162
9,Robbery,0.7168237566947937,0.46468716859817505,0.9079661965370178,0.15890520811080933,0.6110910177230835
10,Shooting,0.7841406464576721,0.6155920624732971,0.9317854642868042,0.11565887928009033,0.2865622043609619
11,Shoplifting,0.8139974474906921,0.6918990612030029,0.9013186693191528,0.05649843066930771,0.658832848072052
12,Stealing,0.7545830011367798,0.47565987706184387,0.9244234561920166,0.14546963572502136,0.5175896883010864
13,Vandalism,0.7263282537460327,0.3600810766220093,0.9602286219596863,0.21404235064983368,0.4978116750717163
