class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own
Normal,0,0,normal an orderly scene with predictable everyday human activity,77.59820538701207,18.603610216310535,0.5520638823509216,0.2062215656042099,0.34584230184555054,Explosion,-0.08729290962219238
Abuse,1,0,abuse a vulnerable victim enduring repeated close range mistreatment,85.15510117299088,28.910662075431343,0.7688183188438416,0.2531881332397461,0.5156301856040955,Fighting,-0.17059987783432007
Arrest,2,0,arrest a person being arrested by uniformed police officers,84.50242660629603,23.421760626067908,0.7538000345230103,0.24512441456317902,0.5086756348609924,Robbery,-0.14599722623825073
Arson,3,0,arson a person lighting material before flames spread,43.216998870549006,6.695709056557428,0.4897889792919159,0.5388521552085876,-0.04906317591667175,Shooting,-0.05675971508026123
Assault,4,0,assault an attacker swinging arms repeatedly at another person,78.35659974769882,18.968222693579584,0.6346206068992615,0.2517830431461334,0.38283756375312805,Normal,-0.13269495964050293
Burglary,5,0,burglary a person illegally entering a building to steal property,85.70272369919189,33.47766568081765,0.784630298614502,0.25844210386276245,0.5261881947517395,Robbery,-0.09578001499176025
Explosion,6,0,explosion a powerful blast destroying an object or structure,79.3984328422676,19.880017985805857,0.6439629793167114,0.2182878702878952,0.42567509412765503,Normal,-0.08729267120361328
Fighting,7,0,fighting a public fight where both sides are physically attacking,83.90402987600416,23.24683558131771,0.7162333130836487,0.2291485220193863,0.4870848059654236,Vandalism,-0.13100099563598633
RoadAccidents,8,0,roadAccidents a vehicle collision causing roadway impact and disruption,83.2121089743757,23.361453411836248,0.795342743396759,0.2804163992404938,0.5149263143539429,Arrest,-0.21029460430145264
Robbery,9,0,robbery a threatening person demanding valuables from a victim,85.05700345317942,27.550455461477487,0.7576866149902344,0.24075660109519958,0.5169299840927124,Burglary,-0.09578001499176025
Shooting,10,0,shooting a shooting incident involving a visible gun,53.982839264260804,9.332528293867632,0.5090022683143616,0.4776032865047455,0.03139898180961609,Arson,-0.05675983428955078
Shoplifting,11,0,shoplifting a person secretly taking merchandise from a store without paying,83.0054713175912,24.408096831313543,0.6675065159797668,0.20096443593502045,0.4665420651435852,Robbery,-0.14003121852874756
Stealing,12,0,stealing a person secretly stealing an unattended object,55.969946082697675,9.62891810010019,0.4939253628253937,0.44946756958961487,0.04445779323577881,Arson,-0.07243925333023071
Vandalism,13,0,vandalism someone striking public property until visible damage appears,83.85950630987253,25.12116704626791,0.6980534791946411,0.2220701277256012,0.4759833514690399,Fighting,-0.13100099563598633
