video_id,label,num_frames,positive_frames,baseline_classifier_mean,baseline_classifier_max,baseline_classifier_positive_mean,baseline_classifier_negative_mean,baseline_classifier_auc,baseline_classifier_ap,baseline_alignment_mean,baseline_alignment_max,baseline_alignment_positive_mean,baseline_alignment_negative_mean,baseline_alignment_auc,baseline_alignment_ap,manual_classifier_mean,delta_classifier_mean,manual_classifier_max,delta_classifier_max,manual_classifier_positive_mean,delta_classifier_positive_mean,manual_classifier_negative_mean,delta_classifier_negative_mean,manual_classifier_auc,delta_classifier_auc,manual_classifier_ap,delta_classifier_ap,manual_alignment_mean,delta_alignment_mean,manual_alignment_max,delta_alignment_max,manual_alignment_positive_mean,delta_alignment_positive_mean,manual_alignment_negative_mean,delta_alignment_negative_mean,manual_alignment_auc,delta_alignment_auc,manual_alignment_ap,delta_alignment_ap
Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.8130466938018799,-0.048664987087249756,0.9978135824203491,-0.0007002949714660645,0.9137855172157288,-0.05247539281845093,0.8073787093162537,-0.048450589179992676,44.726681670417605,-7.009752438109523,5.523203304160093,-0.8444847603364822,0.985446035861969,-0.01037663221359253,0.9948191046714783,-0.004838764667510986,0.9889079928398132,-0.009281516075134277,0.9852511882781982,-0.010438323020935059,48.16754188547137,-1.4243560890222469,5.860088962922633,-0.2906076336961805
Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.855424702167511,-0.13748925924301147,0.9822067022323608,-0.017605841159820557,0.9789333343505859,-0.020524263381958008,0.848189651966095,-0.14434093236923218,92.36267077471926,23.247253415494384,35.33683473389356,25.759208136120588,0.9794433116912842,-0.016650915145874023,0.9866666793823242,-0.01203685998916626,0.9855721592903137,-0.012100696563720703,0.9790842533111572,-0.016917526721954346,89.75513844407507,40.34540073782786,24.500954970382214,18.277573782547012
Arrest001_x264,Arrest,2368,300,0.4518764019012451,0.9980471134185791,0.9698720574378967,0.3767319321632385,98.38426821405545,90.03403346653347,0.6530710458755493,0.9905329346656799,0.9810068607330322,0.6054981350898743,99.59896840747905,97.37133478437828,0.26850438117980957,-0.18337202072143555,0.9936538934707642,-0.004393219947814941,0.9489144086837769,-0.020957648754119873,0.16979889571666718,-0.20693303644657135,99.47775628626692,1.0934880722114713,96.49825251502884,6.464219048495366,0.9806728959083557,0.3276018500328064,0.9853617548942566,-0.00517117977142334,0.9786828756332397,-0.0023239850997924805,0.9809615015983582,0.3754633665084839,27.542230818826564,-72.05673758865248,8.752103823722916,-88.61923096065536
Arrest007_x264,Arrest,3136,630,0.7880198955535889,0.9999284744262695,0.9957724809646606,0.7357915639877319,99.70622886025919,99.15736607142858,0.9165781736373901,0.9999218583106995,0.9993320107460022,0.895774245262146,99.90891701186993,99.6533658140801,0.6267985701560974,-0.16122132539749146,0.9948950409889221,-0.005033433437347412,0.934348464012146,-0.06142401695251465,0.5494816303253174,-0.18630993366241455,93.66004129771089,-6.0461875625482975,86.15740845429414,-12.999957617134442,0.9737290143966675,0.057150840759277344,0.9859259128570557,-0.013995945453643799,0.9780017733573914,-0.02133023738861084,0.9726549983024597,0.07688075304031372,68.44158147430295,-31.46733553756698,29.885840709559364,-69.76752510452074
Arrest024_x264,Arrest,3616,2100,0.9995573163032532,0.9999921321868896,0.9998852610588074,0.9991028904914856,51.493152406081165,55.06442484182102,0.9997256398200989,0.9999205470085144,0.9997170567512512,0.9997373223304749,39.684633747958294,48.4604455660679,0.9987773895263672,-0.0007799267768859863,0.9999721050262451,-2.002716064453125e-05,0.9997307658195496,-0.0001544952392578125,0.9974567890167236,-0.0016461014747619629,62.20128156803618,10.708129161955014,73.87826378006615,18.813838938245127,0.9972331523895264,-0.0024924874305725098,0.9981166124343872,-0.0018039345741271973,0.997254490852356,-0.0024625658988952637,0.9972035884857178,-0.00253373384475708,53.761779117979636,14.077145370021341,69.31995782718441,20.859512261116514
Arrest030_x264,Arrest,8640,1665,0.9869815111160278,0.9999940395355225,0.9999823570251465,0.9838781356811523,94.27715457392877,78.17053623625138,0.9984167218208313,0.9999738335609436,0.9999187588691711,0.9980581998825073,80.21709020848806,34.57953957658516,0.9632521867752075,-0.023729324340820312,0.9999905824661255,-3.4570693969726562e-06,0.9999672174453735,-1.5139579772949219e-05,0.9544879794120789,-0.029390156269073486,87.09736403069738,-7.179790543231391,46.12273910408135,-32.04779713217003,0.991923451423645,-0.006493270397186279,0.9967013597488403,-0.0032724738121032715,0.9957629442214966,-0.0041558146476745605,0.9910069704055786,-0.007051229476928711,94.36353773127965,14.14644752279159,82.54012556986025,47.96058599327509
Arrest039_x264,Arrest,15824,3120,0.31562724709510803,0.9983789920806885,0.42451947927474976,0.28888413310050964,59.54397565071369,23.391684099129716,0.3831726312637329,0.9992027878761292,0.4598191976547241,0.364348828792572,60.59185881289155,22.01382464863371,0.13623054325580597,-0.17939670383930206,0.9746088981628418,-0.02377009391784668,0.14145658910274506,-0.2830628901720047,0.1349470615386963,-0.15393707156181335,62.85357327391332,3.309597623199629,24.013364099753424,0.6216800006237087,0.9855908751487732,0.6024182438850403,0.9931302070617676,-0.006072580814361572,0.98691725730896,0.5270980596542358,0.9852651357650757,0.6209163069725037,40.23929471032746,-20.352564102564095,15.388919660546765,-6.624904988086946
Arson007_x264,Arson,6240,3450,0.957899808883667,0.9958055019378662,0.947363555431366,0.9709285497665405,40.183242428964725,47.75016439106431,0.9967396259307861,0.9988159537315369,0.9957154393196106,0.9980061054229736,20.153114123941616,44.81253779436939,0.9574788212776184,-0.000420987606048584,0.9947984218597412,-0.001007080078125,0.9485061168670654,0.0011425614356994629,0.9685741066932678,-0.002354443073272705,39.87073918238014,-0.3125032465845834,47.235545347757,-0.514619043307313,0.9916868805885315,-0.005052745342254639,0.9972845911979675,-0.001531362533569336,0.9904685616493225,-0.005246877670288086,0.9931934475898743,-0.004812657833099365,15.010441016051116,-5.1426731078905,37.751210737005884,-7.061327057363506
Arson009_x264,Arson,736,95,0.9960964918136597,0.9998841285705566,0.9980766177177429,0.9958029389381409,36.82322029723294,11.619719789387476,0.9986822605133057,0.9999508857727051,0.9986799359321594,0.9986826777458191,34.32712045323918,11.23853200278029,0.9966388940811157,0.0005424022674560547,0.9999423027038574,5.817413330078125e-05,0.9988694190979004,0.0007928013801574707,0.9963083863258362,0.0005054473876953125,40.73815584202316,3.914935544790218,12.163644864166548,0.5439250747790716,0.998619556427002,-6.270408630371094e-05,0.999093234539032,-0.0008576512336730957,0.9989398121833801,0.0002598762512207031,0.9985721111297607,-0.00011056661605834961,71.63724443714591,37.31012398390673,28.025080730672837,16.786548727892544
Arson010_x264,Arson,3152,345,0.7839153409004211,0.9961961507797241,0.9833076596260071,0.7594085931777954,80.42662494901462,25.722674832918095,0.9570447206497192,0.9945799112319946,0.9928075671195984,0.9526492357254028,82.84542267519606,25.613980936556967,0.732237696647644,-0.0516776442527771,0.9975772500038147,0.0013810992240905762,0.9874961376190186,0.004188477993011475,0.7008647322654724,-0.058543860912323,85.89865914922838,5.472034200213756,28.775702410115798,3.053027577197703,0.9892526865005493,0.03220796585083008,0.9979901313781738,0.0034102201461791992,0.9974027276039124,0.004595160484313965,0.9882509708404541,0.03560173511505127,85.72517980411291,2.87975712891685,28.166193733735202,2.5522127971782353
