class_name,prompt_index,prompt_text,own_class_similarity,best_other_class,best_other_similarity,other_minus_own,nearest_same_class_prompt_similarity
Vandalism,4,a person marking property with deliberate graffiti strokes,0.7184352874755859,Stealing,0.8143081665039062,0.09587287902832031,0.8043125867843628
Arson,4,a person retreating as planted fire begins spreading,0.7650549411773682,Stealing,0.8518624901771545,0.08680754899978638,0.7264364957809448
Vandalism,3,a vandal hitting a sign until it bends,0.8058505058288574,Burglary,0.8818378448486328,0.07598733901977539,0.8043125867843628
Robbery,3,a weapon used to force a property handover,0.8244373798370361,Shooting,0.8866475224494934,0.062210142612457275,0.7438845634460449
Vandalism,2,a person repeatedly kicking a public fixture,0.7849255800247192,Arson,0.8464720845222473,0.061546504497528076,0.8818279504776001
Robbery,4,a victim backing away while valuables are taken,0.9168655872344971,Abuse,0.914547324180603,-0.002318263053894043,0.8195523023605347
Stealing,0,a person taking an unattended bag and leaving,0.9015241861343384,Robbery,0.8973444700241089,-0.004179716110229492,0.8444738984107971
Vandalism,1,someone scratching a parked vehicle with a tool,0.8736542463302612,Arson,0.8628582954406738,-0.010795950889587402,0.8818279504776001
Explosion,4,a pressure blast expanding faster than surrounding motion,0.9023677110671997,Arson,0.8888416290283203,-0.013526082038879395,0.8007258176803589
Abuse,2,a helpless person recoiling from sustained physical abuse,0.8866852521896362,Vandalism,0.8725240230560303,-0.014161229133605957,0.8530086874961853
Abuse,3,a defenseless victim shielding from repeated aggressive contact,0.9103012084960938,Assault,0.8913555145263672,-0.018945693969726562,0.8801268339157104
Arrest,3,law enforcement securing a suspect during formal custody,0.8891361355781555,Shooting,0.8675566911697388,-0.021579444408416748,0.8347432613372803
Fighting,2,opponents separating and reengaging in group fighting,0.8873254060745239,Explosion,0.8628959655761719,-0.02442944049835205,0.8059541583061218
RoadAccidents,1,a car striking a pedestrian or cyclist on road,0.8459613919258118,Vandalism,0.8196128606796265,-0.026348531246185303,0.80585777759552
Explosion,2,an object rupturing outward in a single instant,0.9230133891105652,Abuse,0.8961280584335327,-0.02688533067703247,0.8280271291732788
Explosion,1,a sudden shock front spreading from one point,0.9031344652175903,Fighting,0.8755601644515991,-0.02757430076599121,0.8149456977844238
Assault,2,an aggressor kicking a fallen victim on pavement,0.9494417905807495,Abuse,0.9201192259788513,-0.029322564601898193,0.8662070631980896
Fighting,4,two sides clashing back and forth in public,0.927910566329956,Assault,0.8981326222419739,-0.029777944087982178,0.9190080761909485
Shoplifting,4,a customer exiting retail space with concealed merchandise,0.8320322036743164,Explosion,0.7975037693977356,-0.03452843427658081,0.7909806370735168
Fighting,1,multiple participants striking each other during mutual combat,0.8665601015090942,Robbery,0.8297922611236572,-0.03676784038543701,0.812732994556427
Assault,1,a one-sided attack with punches and defensive movement,0.8764346241950989,Abuse,0.8395360708236694,-0.03689855337142944,0.8588823080062866
Shooting,4,an armed shooter discharging a weapon toward people,0.9360067844390869,Arrest,0.897824764251709,-0.03818202018737793,0.8960696458816528
Shoplifting,3,a shopper slipping merchandise into a bag in aisle,0.8454883098602295,Stealing,0.8061200380325317,-0.039368271827697754,0.8801913261413574
Burglary,1,a person prying open access to a restricted room,0.8958528637886047,Explosion,0.8531825542449951,-0.04267030954360962,0.8492305278778076
Shooting,2,a shooter raising a gun before firing,0.8848303556442261,Arson,0.8413405418395996,-0.043489813804626465,0.7762594223022461
Arson,2,a lighter touching a surface before ignition starts,0.9079128503799438,Explosion,0.8608646392822266,-0.047048211097717285,0.7943534255027771
Stealing,2,a suspect carrying property while the owner is distracted,0.9253185987472534,Robbery,0.8764858245849609,-0.04883277416229248,0.8666496276855469
Robbery,1,a victim handing belongings during close intimidation,0.8883268237113953,Stealing,0.8362983465194702,-0.05202847719192505,0.8402534127235413
Robbery,0,a threatening person demanding valuables from a victim,0.9354962706565857,Stealing,0.8832244277000427,-0.05227184295654297,0.8968232274055481
Abuse,1,a stronger aggressor controlling a weaker victim indoors,0.9378211498260498,Assault,0.8833767175674438,-0.05444443225860596,0.8801268339157104
Burglary,0,an intruder manipulating a lock at a doorway,0.9282156825065613,Abuse,0.8720334768295288,-0.05618220567703247,0.8492305278778076
Assault,0,a single attacker lunging with a direct strike,0.9409303665161133,Fighting,0.8831170797348022,-0.057813286781311035,0.8887369632720947
Robbery,2,a robber confronting someone and taking personal items,0.9330439567565918,Stealing,0.8685355186462402,-0.06450843811035156,0.8968232274055481
Arson,3,small flames expanding after deliberate human ignition,0.9027089476585388,Explosion,0.8342773914337158,-0.068431556224823,0.9035255908966064
Fighting,0,two groups mutually exchanging punches in a brawl,0.9454827308654785,Explosion,0.8767365217208862,-0.06874620914459229,0.9190080761909485
Assault,4,an attacker chasing one target while striking repeatedly,0.923753023147583,Fighting,0.8549959063529968,-0.06875711679458618,0.8887369632720947
Shoplifting,2,store goods disappearing beneath a jacket while shopping,0.872092604637146,Arson,0.8026972413063049,-0.06939536333084106,0.7909806370735168
Burglary,2,a masked intruder entering a closed building interior,0.9173473715782166,Robbery,0.8469101190567017,-0.07043725252151489,0.8508166074752808
Arson,1,a person pouring accelerant before fire grows,0.9211392998695374,Explosion,0.8492279052734375,-0.07191139459609985,0.8619120717048645
Arrest,1,officers escorting a handcuffed person toward a patrol car,0.9053421020507812,Shooting,0.8326362371444702,-0.07270586490631104,0.8347432613372803
Shooting,3,a person firing a handgun in surveillance footage,0.9373835325241089,Arrest,0.8642893433570862,-0.0730941891670227,0.8960696458816528
Abuse,4,an aggressor dragging or overpowering a vulnerable person,0.9514450430870056,Arrest,0.8782557845115662,-0.07318925857543945,0.9003028273582458
RoadAccidents,0,vehicles colliding at an intersection on the roadway,0.8188720941543579,Stealing,0.7443532943725586,-0.07451879978179932,0.8291197419166565
Explosion,3,a compact detonation producing outward airborne fragments,0.9435978531837463,Arson,0.8683521747589111,-0.0752456784248352,0.883893609046936
Shoplifting,0,a shopper concealing merchandise inside clothing or bag,0.9387627840042114,Robbery,0.861143946647644,-0.07761883735656738,0.8801913261413574
RoadAccidents,2,a motorbike sliding across a lane after collision,0.8740860223770142,Vandalism,0.7937067151069641,-0.08037930727005005,0.8144285082817078
Explosion,0,a blast center expanding into a radial debris cloud,0.9075732827186584,Fighting,0.8270972967147827,-0.08047598600387573,0.883893609046936
Stealing,1,a thief lifting a phone or package from public space,0.9015399813652039,Burglary,0.8192452788352966,-0.08229470252990723,0.86811363697052
Assault,3,a victim stumbling backward after a sudden hit,0.9346438646316528,Fighting,0.8516045808792114,-0.0830392837524414,0.8620545864105225
Fighting,3,several combatants grappling and swinging simultaneously,0.9444953203201294,Explosion,0.8601679801940918,-0.0843273401260376,0.8718399405479431
Vandalism,0,a person spraying paint across a wall surface,0.8712608218193054,Shooting,0.7819693088531494,-0.089291512966156,0.7798545360565186
Burglary,4,an intruder searching inside rooms after unauthorized entry,0.9229841232299805,Stealing,0.8308154344558716,-0.09216868877410889,0.8508166074752808
Shooting,1,a visible muzzle flash from a discharged gun,0.9098764061927795,Arson,0.8133714199066162,-0.09650498628616333,0.8216363191604614
Abuse,0,a vulnerable victim enduring repeated close range mistreatment,0.9544228315353394,Fighting,0.8530248999595642,-0.10139793157577515,0.9003028273582458
Burglary,3,a person climbing through a window into private space,0.9144749641418457,Stealing,0.8099002838134766,-0.10457468032836914,0.8281204700469971
Stealing,4,a thief removing a bicycle after handling its lock,0.9104384183883667,Robbery,0.8042124509811401,-0.10622596740722656,0.8275933265686035
Arrest,2,a handcuffed suspect standing between multiple police officers,0.9440295696258545,Abuse,0.834055483341217,-0.10997408628463745,0.9418368339538574
Arrest,4,a detained person kneeling while officers apply restraints,0.9422910809516907,Abuse,0.8316571712493896,-0.11063390970230103,0.9007705450057983
RoadAccidents,4,a crashed vehicle blocking lanes after roadway impact,0.8905136585235596,Stealing,0.7794356346130371,-0.11107802391052246,0.8291197419166565
Arson,0,a person lighting material before flames spread,0.9323952794075012,Explosion,0.8166764378547668,-0.11571884155273438,0.9035255908966064
Shooting,0,an armed person aiming and firing a firearm,0.9360898733139038,Arson,0.8158848285675049,-0.12020504474639893,0.8693269491195679
Arrest,0,uniformed police placing handcuffs on a detained suspect,0.9462488293647766,Robbery,0.8199545741081238,-0.12629425525665283,0.9418368339538574
RoadAccidents,3,vehicles swerving before colliding in traffic,0.9221962690353394,Vandalism,0.7934019565582275,-0.12879431247711182,0.8144285082817078
Shoplifting,1,a person hiding a retail item while browsing shelves,0.9257702827453613,Robbery,0.7935467958450317,-0.1322234869003296,0.8530157208442688
Stealing,3,a person pocketing an unattended item and walking away,0.9564958810806274,Burglary,0.8154131174087524,-0.141082763671875,0.86811363697052
Normal,0,pedestrians walking calmly along an ordinary street,0.939815878868103,Vandalism,0.32830196619033813,-0.6115139126777649,0.8774833679199219
Normal,1,people waiting and talking in a public area,0.9376334547996521,Arson,0.3001537024974823,-0.6374797821044922,0.8831157088279724
Normal,3,customers standing calmly near store counters,0.9390425682067871,Shoplifting,0.2521837651729584,-0.6868587732315063,0.893251895904541
Normal,2,vehicles moving steadily through regular traffic,0.9457554817199707,Arson,0.18906281888484955,-0.75669264793396,0.893251895904541
Normal,4,people entering and exiting buildings at normal pace,0.9578967094421387,Arson,0.1557806134223938,-0.8021160960197449,0.888507604598999
