class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own
Normal,0,0,pedestrians walking calmly along a quiet street,71.82622019688851,15.174776294510089,0.7205865979194641,0.5374959707260132,0.18309062719345093,Explosion,-0.31484949588775635
Normal,0,1,people chatting casually in an ordinary public area,73.88056213317901,15.529742642359878,0.7184765934944153,0.5193468928337097,0.19912970066070557,Arson,-0.24978452920913696
Normal,0,2,vehicles moving normally through regular traffic flow,51.5928468595711,7.917192454059975,0.7437030076980591,0.724905788898468,0.018797218799591064,Explosion,-0.3694853186607361
Normal,0,3,shoppers browsing shelves and paying at checkout,31.993800015112328,5.097387780271933,0.749107301235199,0.8386854529380798,-0.08957815170288086,Explosion,-0.37607693672180176
Normal,0,4,workers performing routine tasks in a calm store,75.62815480281493,16.58053833181143,0.7015808820724487,0.45947620272636414,0.2421046793460846,Shoplifting,-0.2253897786140442
Normal,0,5,pedestrians crossing a walkway with regular spacing,71.63017006813716,14.334395363319397,0.6600170731544495,0.4643723964691162,0.19564467668533325,Arrest,-0.333832323551178
Normal,0,6,people entering and exiting buildings at a steady pace,80.266600206466,20.34548562654886,0.6510171294212341,0.28029578924179077,0.37072134017944336,Explosion,-0.2222275733947754
Normal,0,7,a public area with ordinary walking and waiting,75.3835069265689,16.7457953783459,0.6433871388435364,0.39226293563842773,0.25112420320510864,Arson,-0.34500402212142944
Normal,0,8,people standing calmly near counters and doorways,79.71643754799707,20.43817050709543,0.6553364992141724,0.32561904191970825,0.3297174572944641,Explosion,-0.26152729988098145
Normal,0,9,an orderly scene with predictable everyday activity,34.29017087720733,5.262938239992071,0.7681270241737366,0.8396998047828674,-0.07157278060913086,Explosion,-0.387224018573761
Abuse,1,0,a surveillance frame of an aggressor striking a vulnerable victim,85.3877226748244,26.272456699281022,0.7937069535255432,0.2485937625169754,0.545113205909729,Assault,0.007736146450042725
Abuse,1,1,a person forcefully pushing a helpless victim against furniture,85.47551064390272,27.429405251301375,0.8180983662605286,0.27223873138427734,0.5458596348762512,Assault,-0.04279911518096924
Abuse,1,2,a dominant person grabbing and controlling a weaker victim,85.68208759076889,27.81740011334487,0.8215147256851196,0.2677386999130249,0.5537760257720947,Assault,-0.03176069259643555
Abuse,1,3,a victim shielding their body from repeated physical mistreatment,85.60630388438499,26.328074629813685,0.8098272681236267,0.2612985670566559,0.5485286712646484,Arrest,-0.0022212862968444824
Abuse,1,4,an attacker cornering someone and delivering forceful blows,85.42226529313888,26.32465914293053,0.7999299168586731,0.2504839301109314,0.5494459867477417,Assault,0.005061149597167969
Abuse,1,5,a person dragging a resisting victim across the floor,85.90661940099417,28.630990223690635,0.8427122831344604,0.2907809019088745,0.5519313812255859,Burglary,-0.010597944259643555
Abuse,1,6,a vulnerable person recoiling from sustained aggressive contact,85.79077412676469,28.813478729638348,0.8300947546958923,0.27838200330734253,0.5517127513885498,Assault,-0.047911643981933594
Abuse,1,7,a stronger aggressor overpowering a weaker person indoors,85.51307020504964,27.690348166724917,0.8132569193840027,0.26462534070014954,0.5486315488815308,Assault,-0.027732133865356445
Abuse,1,8,a victim collapsing after repeated blows from another person,85.4830368017872,26.11532948669234,0.7919797301292419,0.24562868475914001,0.5463510751724243,Assault,-0.0008087158203125
Abuse,1,9,a hostile person hurting a defenseless target at close range,85.16313644716045,25.62309846407704,0.7683122158050537,0.23646147549152374,0.5318507552146912,Assault,0.030291080474853516
Arrest,2,0,uniformed police placing handcuffs on a detained suspect,84.1333353429728,23.004762479669644,0.7508283853530884,0.24178743362426758,0.5090409517288208,Shooting,-0.2058708667755127
Arrest,2,1,officers escorting a handcuffed person toward a patrol car,83.74361247512219,23.284324939469414,0.7955794930458069,0.2628331184387207,0.5327463746070862,Shooting,-0.17459207773208618
Arrest,2,2,law enforcement surrounding a suspect beside a police vehicle,81.41079860097065,21.006618189754285,0.7245726585388184,0.23991289734840393,0.48465976119041443,RoadAccidents,-0.12834441661834717
Arrest,2,3,a detained suspect kneeling while officers secure handcuffs,84.5032556474477,24.12787184285563,0.8129132986068726,0.27033695578575134,0.5425763130187988,Robbery,-0.14226949214935303
Arrest,2,4,police guiding a restrained person during formal detention,83.99366080952153,23.23738634913976,0.794086754322052,0.2710200548171997,0.5230666995048523,Stealing,-0.15627962350845337
Arrest,2,5,uniformed officers searching a suspect beside a patrol car,82.43827159887451,21.782558352604187,0.7360590696334839,0.24078288674354553,0.49527618288993835,Shooting,-0.17936283349990845
Arrest,2,6,a handcuffed suspect standing between multiple police officers,85.11265064066673,25.68619450975829,0.805019736289978,0.25607603788375854,0.5489436984062195,Shooting,-0.05783438682556152
